,Dates,Text
0,2021-10-30 05:02:37+00:00,"@datta_arvind I agree with Arvind sir, buying best stocks in worst times rewards the best. 
Eg: Infy just after whi… https://t.co/kdkJB7va3G"
1,2021-10-29 16:14:02+00:00,"@contrarianEPS Portfolio green by 14.5% and adding beaten down stocks with good fundamentals like Laurus Lab, Seque… https://t.co/Db2VTqX4Uh"
2,2021-10-29 16:05:08+00:00,"Infosys Limited current quarter revenue growth YoY of 21.20% ranked 2041 out of 5628 companies in our database. 

👉… https://t.co/tmUgiBX1n8"
3,2021-10-29 10:16:49+00:00,"@jayantgolani Indian market other than groups like tata, wipro,godrej, and some select stocks like infy,(IT sector)… https://t.co/5SD9G7QuvC"
4,2021-10-29 06:08:20+00:00,"seling IT stocks 

#market #IT #banknifty #infy #mindtree #TECHM #TCS"
5,2021-10-29 05:55:46+00:00,"@Odiapuo Invest in retail and IT stocks for now until Feb- HUL, ITC, INFY, TechM. (Staggered)"
6,2021-10-29 05:41:01+00:00,All the IT stocks infy tcs Wipro lti ltts mental 🌴 mphasis hcltech techma all going to crash? Today .will continue… https://t.co/C1ZFp2qBZ4
7,2021-10-29 04:37:46+00:00,"@jagoinvestor_ Buying the stocks from my SIP list like Infy, tcs, hul, asian paints etc."
8,2021-10-29 04:28:14+00:00,"Buy: #INFY  Price: 1703.9  Signal Date: 2021-10-28

System generated signal, trade at your own risk
#stocktips… https://t.co/rUnBv7Sp8I"
9,2021-10-29 02:08:32+00:00,"@AunindyoC Buy only IT Stocks. Best plays are Infy, HCL and LTI. The next bull market for IT is starting I think (I hope)"
10,2021-10-28 11:25:16+00:00,#pressRelease #NSE #BSE #trading #stocks #stockmarket #PressRelease #INFY - Announcement under Regulation 30 (LODR)… https://t.co/luKXVrubpJ
11,2021-10-28 10:06:03+00:00,"Infosys Limited current quarter revenue growth YoY of 21.20% ranked 2041 out of 5625 companies in our database. 

👉… https://t.co/mP1G2kXMkO"
12,2021-10-28 04:28:15+00:00,"Buy: #INFY  Price: 1728.95  Signal Date: 2021-10-27

System generated signal, trade at your own risk
#stocktips… https://t.co/u6YzUS0KPa"
13,2021-10-28 04:09:37+00:00,RT @Anish_Sharmaaa: New trade idea posted in Charting By Anish: 'Stocks eith Highest Rollovers Adaniports Grasim Infy Ipcalab Torntpower' h…
14,2021-10-28 03:42:55+00:00,"Intraday Stocks to Focus: 28 OCT 2021

Buy Stocks:
INFY buy above 1736  
MINDTREE buy above 4648
————————————
Sell… https://t.co/qKpu32imKm"
15,2021-10-28 03:25:09+00:00,"Stock to watch for the day #ASIANPAINT #INFY #UPL #MCDOWELL-N #GODREJCP

#sharemarket #stockmarketnews #stocks… https://t.co/zPjBQY0AQW"
16,2021-10-28 02:02:25+00:00,New trade idea posted in Charting By Anish: 'Stocks eith Highest Rollovers Adaniports Grasim Infy Ipcalab Torntpowe… https://t.co/bjk02qi2S4
17,2021-10-27 19:23:23+00:00,"@hdfcmf @SEBI_India part 2
Today it self Major core portfolio stocks have gained more than 1.5% 
 sbi 1.29% up, ici… https://t.co/cbSg5MLS7X"
18,2021-10-27 18:15:38+00:00,"RT @JayneshKasliwal: As many stocks have declared results.
It's not upto us to decide wether it's good or bad . 

On good results TCS INFY…"
19,2021-10-27 17:15:58+00:00,"RT @JayneshKasliwal: As many stocks have declared results.
It's not upto us to decide wether it's good or bad . 

On good results TCS INFY…"
20,2021-10-27 17:00:20+00:00,@asitbaran just observe. The trend of stocks from infy tcs after  results is repeated for same season for all stocks almost 70%+
21,2021-10-27 16:53:26+00:00,"As many stocks have declared results.
It's not upto us to decide wether it's good or bad . 

On good results TCS IN… https://t.co/CaYsMnmToY"
22,2021-10-27 16:50:26+00:00,"@PRSundar64 No sir they are making you value buy some stocks which were overbought eg tcs, infy , itc, hul, hcl"
23,2021-10-27 09:39:24+00:00,"I.T. major's seeing buying which will be a booster for NIFTY which will support with bank nifty being volatile.
Go… https://t.co/fb0FWCzhVC"
24,2021-10-27 09:38:18+00:00,"If you ever wanted to buy Infosys stocks but never got it at the right price,then above 1731.5 it seems good with s… https://t.co/gpqijF5Nby"
25,2021-10-27 04:28:15+00:00,"Buy: #INFY  Price: 1703.7  Signal Date: 2021-10-26

System generated signal, trade at your own risk
#stocktips… https://t.co/k8ixeExnh0"
26,2021-10-27 03:43:27+00:00,"RT @sachinseys: It's all about time and correct allocation. 20 years before #Infy #Sunpharma #Hero
Traded on 2 digits. #StockMarket #stocks…"
27,2021-10-27 03:43:22+00:00,"It's all about time and correct allocation. 20 years before #Infy #Sunpharma #Hero
Traded on 2 digits. #StockMarket #stocks  #stockstowatch"
28,2021-10-26 17:47:09+00:00,"RT @powerofchart: #Intraday #Stocks for #27oct 
#IRCTC
#WIPRO
#INFY
#HDFCBANK
#ADANIPORTS
#APOLLOTYRE
#FEDERALBNK
#ICICIBANK 

2nd List 
#J…"
29,2021-10-26 17:45:10+00:00,"#Intraday #Stocks for #27oct 
#IRCTC
#WIPRO
#INFY
#HDFCBANK
#ADANIPORTS
#APOLLOTYRE
#FEDERALBNK
#ICICIBANK 

2nd Li… https://t.co/g55bKZtAdf"
30,2021-10-26 16:00:00+00:00,"#Dividend Today
$AM $ATR $CLX $CMC $DNUT $ENTG $INFY $PSEC 
Free stocks app https://t.co/S59zN18Con"
31,2021-10-26 10:33:57+00:00,@snikhil97 @stockifi_Invest All these are stupid examples for every infy people are holding 10k stocks which became… https://t.co/QUWTjfFAGy
32,2021-10-26 07:00:20+00:00,#pressRelease #NSE #BSE #trading #stocks #stockmarket #PressRelease #INFY - Press Release Infosys Limited has infor… https://t.co/7dvvHdkQ11
33,2021-10-26 06:50:19+00:00,#pressRelease #NSE #BSE #trading #stocks #stockmarket #PressRelease #INFY - Announcement under Regulation 30 (LODR)… https://t.co/t03oQIjJgK
34,2021-10-26 04:28:14+00:00,"Buy: #INFY  Price: 1707.55  Signal Date: 2021-10-25

System generated signal, trade at your own risk
#stocktips… https://t.co/CXzD6rgMaj"
35,2021-10-26 01:18:32+00:00,"RT @calls_trading: Trending stocks for tomorrow - 26/10/2021 

1. BANKNIFTY
2. NIFTY
3. BAJAJ FINANCE
4. HDFCBANK
5. CUMMINS INDIA
6. TATA…"
36,2021-10-25 17:57:33+00:00,"RT @Darshanj101: #NiftyIT Took Support Today at 34530,
Above 35500,
We might see 36700

If IT Index Breaks 34530,
it will head for 31000…"
37,2021-10-25 17:02:05+00:00,"RT @BhartiyNiveshak: Stocks to Watch: #stockstowatch

1. GMM Pfaudler 4958
2. Infosys 1822
3. Oracle Financial 4944
4. JK Tyre 167

https:/…"
38,2021-10-25 16:59:04+00:00,"RT @BhartiyNiveshak: Stocks to Watch: #stockstowatch

1. GMM Pfaudler 4958
2. Infosys 1822
3. Oracle Financial 4944
4. JK Tyre 167

https:/…"
39,2021-10-25 16:09:45+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
40,2021-10-25 15:58:04+00:00,@Vivek_Investor Sir as per my experience when individual want to invest in direct equity and don't have any knowled… https://t.co/Wt0LrBdByd
41,2021-10-25 14:29:33+00:00,"RT @Darshanj101: #NiftyIT Took Support Today at 34530,
Above 35500,
We might see 36700

If IT Index Breaks 34530,
it will head for 31000…"
42,2021-10-25 14:18:08+00:00,"RT @calls_trading: Trending stocks for tomorrow - 26/10/2021 

1. BANKNIFTY
2. NIFTY
3. BAJAJ FINANCE
4. HDFCBANK
5. CUMMINS INDIA
6. TATA…"
43,2021-10-25 13:38:21+00:00,"#NiftyIT Took Support Today at 34530,
Above 35500,
We might see 36700

If IT Index Breaks 34530,
it will head for 3… https://t.co/JzNzHIqjc1"
44,2021-10-25 12:32:06+00:00,"RT @calls_trading: Trending stocks for tomorrow - 26/10/2021 

1. BANKNIFTY
2. NIFTY
3. BAJAJ FINANCE
4. HDFCBANK
5. CUMMINS INDIA
6. TATA…"
45,2021-10-25 12:28:48+00:00,"Trending stocks for tomorrow - 26/10/2021 

1. BANKNIFTY
2. NIFTY
3. BAJAJ FINANCE
4. HDFCBANK
5. CUMMINS INDIA
6.… https://t.co/3Yx1RnoEOG"
46,2021-10-25 09:41:30+00:00,"RT @KrishanKapoor27: Stocks i am buying in this market correction  are.

McDowell
Mcx
Asian paints
Can fin
Skf
Tata consumer
Redington
Acce…"
47,2021-10-25 08:58:08+00:00,"RT @KrishanKapoor27: Stocks i am buying in this market correction  are.

McDowell
Mcx
Asian paints
Can fin
Skf
Tata consumer
Redington
Acce…"
48,2021-10-25 08:24:51+00:00,Infosys - Time For Another Look  $INFY Also $TCS https://t.co/cwlRU33wjJ #StockMarket #Stocks #StocksToWatch
49,2021-10-25 07:45:31+00:00,"Stocks i am buying in this market correction  are.

McDowell
Mcx
Asian paints
Can fin
Skf
Tata consumer
Redington
A… https://t.co/OmuS1Fh712"
50,2021-10-25 07:31:24+00:00,"RT @TeckAnalytics: IT stocks PE valuation after correction
#TCS
#HCLTECH
#infy
#wipro
#techm

7 days free Trial on https://t.co/jFl6XHzJL7…"
51,2021-10-25 07:29:29+00:00,"IT stocks PE valuation after correction
#TCS
#HCLTECH
#infy
#wipro
#techm

7 days free Trial on… https://t.co/DG11zog8ro"
52,2021-10-25 07:16:32+00:00,"Dividends to Watch This Week
$COST $TXN $MS $RY $INFY $AON $BK $CARR $FAST 
#Earnings #Stocks #Dividends #IPO… https://t.co/LDaUZVxcYY"
53,2021-10-25 06:19:22+00:00,"Seeing It stocks rub off too much especially #Tcs from almost 4000 to 3470* 
Follows by Hcl &amp; Infy..
Is this due to… https://t.co/p5n7IQ0ECV"
54,2021-10-25 04:31:06+00:00,"#niftyit index and stocks views. Got delayed a bit to upload yday. #infy #hcltech #tcs 
https://t.co/okxC0s54tA"
55,2021-10-25 04:14:58+00:00,"RT @PulseEquity: #nse #stockmarket #nifty #sensex #sharemarket #trading #stockmarketnews 
#indianstockmarket #investing #niftyfifty #stocks…"
56,2021-10-25 03:57:02+00:00,"#nse #stockmarket #nifty #sensex #sharemarket #trading #stockmarketnews 
#indianstockmarket #investing #niftyfifty… https://t.co/5ze7SSa30d"
57,2021-10-24 15:37:24+00:00,"IT Sector &amp; Stock Analysis.
1) #NIFTYIT
2) #infy 
3) #lti
4) #coforge

Watch Analysis on YouTube.
📺📺📺📺📺… https://t.co/csTxuLrR2g"
58,2021-10-24 14:36:04+00:00,"Infosys Limited current quarter revenue growth YoY of 21.20% ranked 2041 out of 5625 companies in our database. 

👉… https://t.co/ePCjZtwZhO"
59,2021-10-24 13:32:56+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
60,2021-10-24 11:12:36+00:00,"RT @ipo_mantra: List of some stocks which always rewarded investors.

Have a look:

Banks: HDFC Bank
Pharma: Divis, Laurus
IT: Infy, TCS
Pa…"
61,2021-10-24 10:53:54+00:00,"RT @TeckAnalytics: PE valuation IT stocks after correction
#INFY #WIPRO #HCLTECH #TCS #LTI #LTTS #MINDTREE #INFOEDGE #TECHM #COFORGE #JUSTD…"
62,2021-10-24 10:36:34+00:00,"RT @TeckAnalytics: PE valuation IT stocks after correction
#INFY #WIPRO #HCLTECH #TCS #LTI #LTTS #MINDTREE #INFOEDGE #TECHM #COFORGE #JUSTD…"
63,2021-10-24 10:16:03+00:00,"PE valuation IT stocks after correction
#INFY #WIPRO #HCLTECH #TCS #LTI #LTTS #MINDTREE #INFOEDGE #TECHM #COFORGE… https://t.co/aOnwfQttRT"
64,2021-10-24 09:39:26+00:00,"RT @ipo_mantra: Never fall in love with your stocks.

Even if those stocks are Infy or IRCTC or ITC .. !"
65,2021-10-24 09:23:36+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
66,2021-10-24 07:21:07+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
67,2021-10-24 06:30:47+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
68,2021-10-24 05:09:14+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
69,2021-10-24 04:08:51+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
70,2021-10-24 03:46:49+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
71,2021-10-24 03:43:26+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
72,2021-10-24 03:32:35+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
73,2021-10-24 03:27:01+00:00,"The “1 lakh” strategy in stock market.
Want a peace of mind and create a wealth which can be used for your kids… th… https://t.co/eDaT9YdtTb"
74,2021-10-24 03:14:10+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
75,2021-10-24 03:08:45+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
76,2021-10-24 02:43:58+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
77,2021-10-24 02:11:39+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
78,2021-10-24 01:07:02+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
79,2021-10-23 23:57:53+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
80,2021-10-23 20:09:03+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
81,2021-10-23 19:43:16+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
82,2021-10-23 18:28:01+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
83,2021-10-23 18:22:32+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
84,2021-10-23 18:16:43+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
85,2021-10-23 17:58:55+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
86,2021-10-23 16:56:38+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
87,2021-10-23 16:19:55+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
88,2021-10-23 16:19:29+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
89,2021-10-23 16:01:30+00:00,"RT @marketstodays: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elx…"
90,2021-10-23 15:50:26+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
91,2021-10-23 15:47:13+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
92,2021-10-23 15:40:40+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
93,2021-10-23 15:39:29+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
94,2021-10-23 15:31:30+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
95,2021-10-23 15:31:02+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
96,2021-10-23 15:30:14+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
97,2021-10-23 15:29:40+00:00,"These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tat… https://t.co/6gn917EI1D"
98,2021-10-23 15:27:03+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
99,2021-10-23 15:23:28+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
100,2021-10-23 15:22:46+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
101,2021-10-23 15:21:20+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
102,2021-10-23 15:19:35+00:00,"These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tat… https://t.co/YW1AwBhr7y"
103,2021-10-23 14:01:27+00:00,"RT @ntdmagic: #Arjun1234sunshine buy or sell with 3 percent sl #Rblbank #infy #vedl #bata , we cover 180 stocks of fno , this project can e…"
104,2021-10-23 13:54:45+00:00,"#Arjun1234sunshine buy or sell with 3 percent sl #Rblbank #infy #vedl #bata , we cover 180 stocks of fno , this pro… https://t.co/3KaVZfNN58"
105,2021-10-23 09:47:02+00:00,"#Infy and #tcs consider these two creating long term opportunity. 

#stockstowatch #StocksToBuy #stocks"
106,2021-10-23 09:05:14+00:00,"@SumitResearch Is this news positive for the share, well all the recent positive news for shares, the bear carted s… https://t.co/1eX3hBa9vE"
107,2021-10-23 09:03:39+00:00,"@Abhishekkar_ Hi abhi, how to spot the bear cartel operating stocks and trapping people suddenly we don't realise u… https://t.co/TcAlZBTcrF"
108,2021-10-22 20:05:02+00:00,"Top #moneyflow for #nasdaq today
$AMZN $GOOG $MSFT $BIDU $INFY $ISRG $QCOM $WYNN $ATVI $COST ...
https://t.co/S59zN18Con"
109,2021-10-22 17:23:55+00:00,RT @TeesFine: $INFY was $6;March 2020! Now it's $23 #stocks #stockmarket #stock #ETFs #ETF #Investor #DRIP #investing #invest #investment #…
110,2021-10-22 17:23:17+00:00,RT @TeesFine: $INFY was $6;March 2020! Now it's $23 #stocks #stockmarket #stock #ETFs #ETF #Investor #DRIP #investing #invest #investment #…
111,2021-10-22 17:22:55+00:00,$INFY was $6;March 2020! Now it's $23 #stocks #stockmarket #stock #ETFs #ETF #Investor #DRIP #investing #invest… https://t.co/nVlDXBOShV
112,2021-10-22 15:48:10+00:00,Tech stocks like infy tcs Wipro LTI LTTS..tech Mahindra mental 🌴 mphasis shd crash ..we need a crash atleast 30-40%&gt;&gt;
113,2021-10-22 15:19:51+00:00,"RT @tusharsood2010: #views shared only for reference

#Infy
#ITC
#SBI
#BandhanBank
#IOC
#AndhraSugars
#Pfizer
#HUL
#LTTS
#banknifty

Visit…"
114,2021-10-22 14:47:19+00:00,"#views shared only for reference

#Infy
#ITC
#SBI
#BandhanBank
#IOC
#AndhraSugars
#Pfizer
#HUL
#LTTS
#banknifty

Vi… https://t.co/jUtHJQffqc"
115,2021-10-22 02:38:04+00:00,"Infosys Limited current quarter revenue growth YoY of 21.20% ranked 2063 out of 5620 companies in our database. 

👉… https://t.co/IczCUMeVLc"
116,2021-10-22 02:04:15+00:00,"(7/n) Negative-looking stocks (1): 
Trade theme for short ideas: Support violation or a resistance confirmation
CAD… https://t.co/70GAsV6ocx"
117,2021-10-22 00:54:48+00:00,"@Kiran24Rajput @RaKavi_tweets I am thinking of below safest stocks in sip every month for next 15 years.    RIL, Ic… https://t.co/xYSttOrbfP"
118,2021-10-21 20:58:29+00:00,"RT @NeuyNodes: Conti. #AI 1-2 Week Bullish Stocks

$PLTR : 92.35%
$V : 92.35%
$AMAT : 92.12%
$INFY : 91.98%
$NIO : 91.87%
$HPQ : 91.35%
$AM…"
119,2021-10-21 20:32:48+00:00,"Conti. #AI 1-2 Week Bullish Stocks

$PLTR : 92.35%
$V : 92.35%
$AMAT : 92.12%
$INFY : 91.98%
$NIO : 91.87%
$HPQ : 9… https://t.co/fatYjWRa20"
120,2021-10-21 17:26:59+00:00,"@Joydas If you see the portfolio of these MFs, majority of them have very high allocation to blue chip stocks (e.g.… https://t.co/7AhrS9SPV7"
121,2021-10-21 16:02:23+00:00,"Best stocks to trade tomorrow on 22nd Oct 2021

ADANIPORTS
COFORGE
HAVELLS
INFY
L&amp;TFH
LTTS
MPHASIS

Do share your profit screenshots :)"
122,2021-10-21 13:21:08+00:00,"Added Some Quality Stocks Again..

SIP

#Ashok_leyland
#Heromotocorp
#pidilite
#Infy
#tcs"
123,2021-10-21 13:06:18+00:00,"⬇️ #nifty50
My choices of evergreen #stocks

Bajajfinserv/Bajaj finance 
Bajaj auto/maruti
HDFC/Hdfc bank/Kotak ban… https://t.co/GJyK6e9JxD"
124,2021-10-21 13:05:03+00:00,"Dont get carried away to sell your core portfolio stocks like hdfc banks, hdfc ltd, Kotak, infy,tcs , etc to buy in… https://t.co/lRiQOP8JeK"
125,2021-10-21 12:18:04+00:00,"$INFY, $JCS, $LRCX 12 Information Technology Stocks Moving In Thursday's Pre-Market Session - https://t.co/CfQVteKDjI"
